id,area,titulo,prioridad,cuenta,precondiciones,pasos,esperado,automatizable,resultado,tester,fecha,notas
TC-AUTH-05,Auth,Confirmar email,P1,Nueva,Enlace email,Abrir enlace,Activación + redirect,Semi,,,,
TC-AUTH-06,Auth,Cerrar sesión,P0,Cualquiera,Sesión,Logout drawer/perfil,Sin acceso a Hoy,E2E,,,,
TC-AUTH-07,Auth,Sesión persistente,P1,Cualquiera,Login,Cerrar y reabrir PWA,Sigue autenticado,E2E,,,,
TC-NAV-01,Nav,Bottom navigation,P0,Cualquiera,Sesión,5 tabs,Navegación correcta,E2E,,,,
TC-NAV-02,Nav,Menú lateral,P1,Cualquiera,Sesión,Retos; Parámetros; resto,Rutas ok; drawer cierra,E2E,,,,
TC-NAV-03,Nav,Avatar → perfil,P2,Cualquiera,Sesión,Pulsar avatar,Abre Perfil,E2E,,,,
TC-PAR-01,Parámetros,Guardar perfil nutricional,P0,Cualquiera,Sesión,Completar bio + guardar + recargar,Persistido + preview metas,E2E,,,,
TC-PAR-02,Parámetros,Dieta preferida,P0,Cualquiera,Migración preferred_diet,Elegir Sin gluten; guardar; recargar,Valor persistido,E2E,,,,
TC-PAR-03,Parámetros,Meta de agua,P0,Cualquiera,Sesión,Cambiar vasos; ver Hoy,Tracker con meta nueva,E2E,,,,
TC-PAR-04,Parámetros,Overrides kcal/proteína,P2,Cualquiera,Perfil completo,Override + guardar,Metas usan override,E2E,,,,
TC-HOY-01,Hoy,Carga dashboard,P0,Cualquiera,Sesión,Abrir Hoy,Secciones visibles sin blanco,E2E,,,,
TC-HOY-02,Hoy,Racha,P1,Cualquiera,Sesión,Ver + abrir calendario,Modal/datos coherentes,E2E,,,,
TC-HOY-03,Hoy,Dosis Free,P1,Free,Sin Premium,Ver informe,Teaser/paywall,E2E,,,,
TC-HOY-04,Hoy,Dosis Premium,P0,Premium,Premium,Ver score + informe,Informe completo; UI compacta,E2E,,,,
TC-HOY-05,Hoy,Vasos de agua,P0,Cualquiera,Meta agua,Tocar vasos; recargar,Persistencia; solo vaso azul sin fondo botón,E2E,,,,
TC-HOY-06,Hoy,Editar agua → Parámetros,P2,Cualquiera,Tracker visible,Editar,Va a parámetros,E2E,,,,
TC-HOY-07,Hoy,Completar reto,P0,Cualquiera,Reto activo,Completar,Puntos/racha update,E2E,,,,
TC-HOY-08,Hoy,Banner menú Free/Prem,P1,Ambas,Slots vacíos,Pulsar banner,Free paywall; Prem genera; 1 solo sparkle,E2E,,,,
TC-HOY-09,Hoy,Comidas vacías añadir,P1,Cualquiera,Slot vacío,CTA planificar,Picker/sugerencia,E2E,,,,
TC-HOY-10,Hoy,Snack desde Hoy,P2,Cualquiera,UI snack,Registrar snack,Visible en día,E2E,,,,
TC-HOY-11,Hoy,Pase 24h promo,P1,Promo,Promo reclamable,Activar,Premium temporal,E2E,,,,
TC-PLAN-01,Plan,Navegar días/semanas,P0,Cualquiera,Sesión,Cambiar día/semana,Contenido correcto,E2E,,,,
TC-PLAN-02,Plan,Añadir receta a slot,P0,Cualquiera,Receta guardada,Añadir desde picker,En slot + kcal,E2E,,,,
TC-PLAN-03,Plan,Reemplazar plato,P1,Cualquiera,Slot con comida,Editar/reemplazar,Reemplaza sin duplicar,E2E,,,,
TC-PLAN-04,Plan,Quitar comida,P1,Cualquiera,Slot con comida,Eliminar,Vacío + nutrición,E2E,,,,
TC-PLAN-05,Plan,Arrastrar horarios,P1,Cualquiera,Comida asignada,Drag and drop,Cambia slot,E2E móvil,,,,
TC-PLAN-06,Plan,Escáner desde plan,P0,Cualquiera,Cuota,Añadir→escanear→guardar plan,Asigna día/comida correctos,E2E,,,,
TC-PLAN-07,Plan,Lista de compras,P1,Cualquiera,Plan con comidas,Abrir lista; copiar,Lista coherente,E2E,,,,
TC-PLAN-08,Plan,Copiar semana anterior,P2,Cualquiera,Semana previa,Copiar semana,Copia o mensaje claro,E2E,,,,
TC-PLAN-09,Plan,Menú IA Premium,P0,Premium,Slots vacíos,Proponer/completar,Rellena; 1 sparkle; respeta dieta,E2E+IA,,,,
TC-PLAN-10,Plan,Menú IA Free,P1,Free,—,Pulsar banner,Paywall,E2E,,,,
TC-PLAN-11,Plan,Comida fuera Premium,P1,Premium,Premium,Registrar fuera,En plan/nutrición,E2E,,,,
TC-PLAN-12,Plan,Snack en plan,P1,Cualquiera,—,Registrar snack,En día + macros,E2E,,,,
TC-PLAN-13,Plan,Instagram picker Free/Prem,P1,Ambas,—,Desde Instagram,Free bloqueado; Prem asigna,E2E,,,,
TC-SCAN-01,Escáner,Generar manual happy path,P0,Cualquiera,Cuota,Ingrediente pollo → generar,Hasta 3 opciones,E2E+IA,,,,
TC-SCAN-02,Escáner,Generar con foto,P0,Cualquiera,Foto comida,Subir→confirmar→generar,Recetas,E2E+fixture,,,,
TC-SCAN-03,Escáner,Foto sin comida,P1,Cualquiera,Imagen no food,Subir paisaje,NOT_FOOD / aviso,E2E,,,,
TC-SCAN-04,Escáner,Editar ingredientes detectados,P1,Cualquiera,Detección,Quitar/añadir; confirmar,Usa lista editada,E2E,,,,
TC-SCAN-05,Escáner,Filtros Free vs Prem,P1,Ambas,—,Probar filtros,Free limitado; Prem aplica,E2E,,,,
TC-SCAN-06,Escáner,Límite 5 generaciones Free,P0,Free,Cuota agotable,Agotar generaciones,Modal límite,E2E,,,,
TC-SCAN-07,Escáner,Guardar en recetario,P0,Cualquiera,Resultado,Guardar,En Guardadas,E2E,,,,
TC-SCAN-08,Escáner,Guardar en plan,P0,Cualquiera,Resultado,Asignar plan,En Plan y Hoy,E2E,,,,
TC-SCAN-09,Escáner,3 variantes,P1,Cualquiera,Resultado,Cambiar tabs,Enfoques distintos,E2E,,,,
TC-SCAN-10,Escáner,Aviso poco saludable,P1,Cualquiera,—,Generar con bacon,Receta + nota,Unit+E2E,,,,
TC-SCAN-11,Escáner,Sin gluten + harina trigo,P0,Cualquiera,Dieta sin_gluten,Generar harina de trigo,Nota dieta gluten,Unit+E2E,,,,
TC-SCAN-12,Escáner,Sin gluten + harina almendras,P0,Cualquiera,Dieta sin_gluten,Generar harina de almendras,NO falso positivo gluten,Unit+E2E,,,,
TC-SCAN-13,Escáner,Otras dietas muestra,P1,Cualquiera,Dietas keto/vegana/etc,Ingredientes incompatibles,Notas coherentes,Unit+E2E,,,,
TC-SCAN-14,Escáner,Tab Instagram,P1,Cualquiera,Catálogo,Detalle→guardar,En recetario,E2E,,,,
TC-SCAN-15,Escáner,Foto real plato Premium,P1,Premium,Crédito,Aceptar foto real,Usa crédito; respeta límite,E2E,,,,
TC-SCAN-16,Escáner,Nueva búsqueda,P2,Cualquiera,Resultado,Nueva búsqueda,Flujo limpio,E2E,,,,
TC-SCAN-17,Escáner,Ingrediente inválido,P2,Cualquiera,—,Texto no food,Validación; no genera,E2E,,,,
TC-REC-01,Guardadas,Listado y pestañas,P0,Cualquiera,Sesión,Tabs,Listas/empty state,E2E,,,,
TC-REC-02,Guardadas,Buscar/filtrar,P2,Cualquiera,Varias recetas,Buscar nombre,Filtra,E2E,,,,
TC-REC-03,Guardadas,Favorito,P1,Cualquiera,Receta,Marcar/desmarcar,En Favoritas,E2E,,,,
TC-REC-04,Guardadas,Detalle completo,P0,Cualquiera,Receta,Abrir detalle,Ingredientes pasos macros,E2E,,,,
TC-REC-05,Guardadas,Compartir,P1,Cualquiera,Receta,Compartir,Imagen/share sin crash,E2E,,,,
TC-REC-06,Guardadas,Asignar plan desde detalle,P1,Cualquiera,Receta,Asignar,En Plan,E2E,,,,
TC-REC-07,Guardadas,Eliminar receta,P1,Cualquiera,Receta,Eliminar confirmando,Desaparece,E2E,,,,
TC-PER-01,Perfil,Editar nombre/país/idioma,P0,Cualquiera,Sesión,Guardar + cambiar idioma,Persistencia + i18n,E2E,,,,
TC-PER-02,Perfil,Avatar,P2,Cualquiera,Foto,Crop + guardar,Avatar actualizado,E2E,,,,
TC-PER-03,Perfil,Upgrade Stripe,P0,Free,Stripe test,Checkout test,Premium activo,Semi,,,,
TC-PER-04,Perfil,Portal suscripción,P1,Premium Stripe,Suscripción,Gestionar,Abre portal,E2E,,,,
TC-PER-05,Perfil,Código 24h válido,P0,Free,Código válido,Canjear,Premium 24h,E2E,,,,
TC-PER-06,Perfil,Código inválido,P1,Free,—,Código malo,Error; sin Premium,E2E,,,,
TC-PER-07,Perfil,Logout desde perfil,P1,Cualquiera,Sesión,Cerrar sesión,Sale,E2E,,,,
TC-RET-01,Retos,Activar/desactivar reto,P0,Cualquiera,Sesión,Toggle retos,Persistido; en Hoy,E2E,,,,
TC-RET-02,Retos,Días de la semana,P1,Cualquiera,Reto,Solo LMX; verificar otro día,Solo días seleccionados,E2E,,,,
TC-RET-03,Retos,Meta personalizada CRUD,P1,Cualquiera,Sesión,Crear editar eliminar,CRUD ok,E2E,,,,
TC-PREM-01,Premium,Paywall consistente Free,P0,Free,Sin Prem,Menú IA; fuera; dosis; IG; filtros,Siempre paywall,E2E,,,,
TC-PREM-02,Premium,Funciones abiertas Premium,P0,Premium,Premium,Repetir PREM-01,Disponibles,E2E,,,,
TC-ADM-01,Admin,Acceso restringido,P1,Free/Prem,No admin,/admin/usuarios,Denegado,E2E,,,,
TC-ADM-02,Admin,Editar usuarios,P1,Admin,Admin Sandra,Toggles Premium/límites,Cambios afectan usuario,E2E,,,,
TC-ADM-03,Admin,Importar receta IG,P2,Admin,Admin,Pegar→IA→publicar,Creada,Semi,,,,
TC-ADM-04,Admin,Banco imágenes,P2,Admin,Admin,CRUD,Operativo,E2E,,,,
TC-ADM-05,Admin,Catálogo IG editar,P2,Admin,Admin,Editar entrada,Visible en escáner,E2E,,,,
TC-I18N-01,i18n,Cambio de idioma,P1,Cualquiera,Sesión,EN FR PT DE; recorrer tabs,Sin claves crudas,E2E,,,,
TC-DEV-01,Dispositivo,Android PWA smoke,P0,Cualquiera,Android Chrome,S1–S8,Sin roturas críticas,Manual/Device,,,,
TC-DEV-02,Dispositivo,iOS PWA smoke,P0,Cualquiera,Safari + Añadir inicio,S1–S8,Usable; safe areas,Manual/Device,,,,
TC-DEV-03,Dispositivo,Red inestable,P3,Cualquiera,—,Cortar red al generar,Error claro; no hang,E2E,,,,
TC-UI-01,UI regresión,Banner menú un solo sparkle,P1,Cualquiera,Hoy/Plan,Ver banner completar/proponer,Un solo icono,E2E,,,,
TC-UI-02,UI regresión,Vasos sin fondo azul botón,P1,Cualquiera,Meta agua,Llenar vasos,Solo vaso azul,E2E,,,,
TC-UI-03,UI regresión,Dosis compacta vs racha,P2,Premium,Hoy,Comparar alturas tarjetas,Alturas equilibradas,Manual,,,,
TC-UI-04,UI regresión,Harina almendras sin gluten OK,P0,Cualquiera,Dieta sin gluten,Generar con harina almendras,Sin falso positivo,Unit+E2E,,,,
